iter	Passed	Remaining
0	151	150962
1	152	75897
2	154	51188
3	156	38865
4	159	31830
5	161	26798
6	163	23188
7	165	20504
8	167	18425
9	169	16740
10	170	15324
11	171	14158
12	173	13191
13	175	12325
14	176	11564
15	177	10912
16	178	10336
17	179	9814
18	181	9349
19	182	8937
20	183	8547
21	184	8197
22	185	7874
23	186	7574
24	187	7322
25	188	7069
26	189	6832
27	190	6607
28	191	6401
29	192	6214
30	193	6040
31	194	5871
32	195	5714
33	195	5566
34	196	5422
35	197	5290
36	198	5170
37	199	5053
38	200	4944
39	201	4835
40	202	4729
41	203	4630
42	203	4534
43	204	4438
44	204	4347
45	205	4259
46	205	4176
47	206	4096
48	207	4019
49	207	3946
50	208	3875
51	208	3806
52	209	3742
53	209	3678
54	210	3617
55	211	3559
56	211	3502
57	212	3446
58	212	3395
59	213	3344
60	214	3295
61	214	3245
62	215	3198
63	215	3152
64	216	3108
65	216	3064
66	217	3022
67	217	2982
68	218	2944
69	218	2906
70	219	2870
71	219	2834
72	220	2799
73	220	2764
74	221	2730
75	221	2698
76	222	2667
77	223	2636
78	223	2607
79	224	2579
80	224	2551
81	225	2523
82	225	2492
83	226	2465
84	226	2439
85	227	2414
86	227	2388
87	228	2364
88	228	2341
89	229	2318
90	229	2296
91	230	2273
92	230	2250
93	231	2228
94	231	2206
95	232	2185
96	232	2165
97	233	2146
98	233	2127
99	234	2109
100	234	2091
101	235	2073
102	236	2055
103	236	2038
104	237	2021
105	237	2004
106	238	1988
107	238	1972
108	239	1955
109	239	1939
110	240	1924
111	240	1909
112	241	1895
113	242	1881
114	242	1866
115	243	1852
116	243	1837
117	244	1823
118	244	1810
119	245	1796
120	245	1784
121	246	1770
122	246	1758
123	247	1746
124	247	1734
125	248	1723
126	248	1710
127	249	1699
128	249	1687
129	250	1675
130	250	1664
131	251	1654
132	252	1644
133	252	1633
134	253	1623
135	253	1612
136	254	1602
137	254	1592
138	255	1582
139	255	1572
140	256	1563
141	257	1553
142	257	1544
143	258	1534
144	258	1525
145	259	1516
146	259	1507
147	260	1500
148	261	1491
149	261	1482
150	262	1474
151	262	1466
152	263	1458
153	264	1450
154	264	1442
155	265	1434
156	265	1426
157	266	1418
158	266	1410
159	267	1403
160	267	1394
161	268	1387
162	268	1380
163	269	1373
164	269	1366
165	270	1359
166	271	1355
167	272	1348
168	272	1341
169	273	1335
170	274	1330
171	275	1324
172	275	1318
173	276	1311
174	276	1305
175	277	1298
176	277	1291
177	278	1285
178	279	1280
179	279	1274
180	280	1268
181	280	1262
182	281	1256
183	282	1250
184	282	1244
185	283	1238
186	283	1232
187	284	1227
188	284	1222
189	285	1216
190	286	1211
191	286	1206
192	287	1202
193	288	1196
194	288	1191
195	289	1186
196	289	1181
197	290	1176
198	291	1171
199	291	1167
200	292	1162
201	293	1158
202	293	1153
203	294	1148
204	294	1143
205	295	1139
206	296	1135
207	297	1131
208	297	1126
209	298	1122
210	299	1118
211	299	1114
212	300	1110
213	301	1105
214	301	1101
215	302	1097
216	302	1092
217	303	1088
218	304	1084
219	304	1080
220	305	1075
221	305	1071
222	306	1067
223	307	1063
224	307	1059
225	308	1055
226	308	1051
227	309	1047
228	310	1043
229	310	1040
230	311	1036
231	311	1032
232	312	1028
233	313	1025
234	313	1022
235	314	1018
236	315	1015
237	315	1011
238	316	1007
239	316	1003
240	317	1001
241	318	997
242	319	994
243	319	990
244	320	987
245	320	983
246	321	980
247	322	976
248	322	973
249	323	970
250	323	966
251	324	963
252	325	960
253	325	957
254	326	953
255	326	950
256	327	947
257	328	944
258	328	940
259	329	937
260	329	934
261	330	931
262	331	927
263	331	924
264	332	921
265	332	918
266	333	915
267	334	912
268	334	909
269	335	906
270	335	903
271	336	901
272	337	898
273	337	895
274	338	892
275	339	889
276	339	887
277	340	884
278	341	881
279	341	878
280	342	876
281	343	873
282	343	870
283	344	868
284	345	865
285	345	862
286	346	860
287	347	857
288	347	855
289	348	852
290	348	849
291	349	847
292	350	844
293	350	841
294	351	839
295	351	836
296	352	834
297	353	831
298	353	829
299	354	826
300	354	823
301	355	821
302	356	819
303	356	816
304	357	814
305	357	811
306	358	809
307	359	806
308	359	804
309	360	801
310	360	799
311	361	796
312	361	794
313	362	791
314	363	789
315	363	787
316	364	784
317	364	782
318	365	780
319	366	777
320	366	775
321	367	773
322	368	771
323	368	769
324	369	767
325	369	764
326	370	762
327	371	760
328	371	757
329	372	755
330	373	754
331	373	752
332	374	749
333	374	747
334	375	745
335	376	743
336	376	741
337	377	738
338	377	736
339	378	734
340	378	732
341	379	730
342	380	728
343	380	726
344	381	724
345	382	722
346	382	720
347	383	719
348	384	717
349	385	715
350	385	713
351	386	711
352	386	709
353	387	706
354	387	704
355	388	702
356	389	701
357	389	699
358	390	697
359	391	695
360	391	693
361	392	691
362	392	689
363	393	687
364	394	685
365	394	683
366	395	682
367	396	680
368	396	678
369	397	676
370	398	674
371	398	673
372	399	671
373	400	669
374	400	667
375	401	666
376	402	664
377	402	662
378	403	660
379	403	658
380	404	656
381	404	655
382	405	653
383	406	651
384	406	649
385	407	647
386	407	645
387	408	644
388	408	642
389	409	640
390	409	638
391	410	636
392	411	635
393	411	633
394	412	631
395	412	629
396	413	627
397	414	626
398	414	624
399	415	622
400	415	620
401	416	619
402	416	617
403	417	616
404	418	614
405	418	612
406	419	611
407	419	609
408	420	607
409	421	605
410	421	604
411	422	602
412	422	601
413	423	599
414	424	597
415	424	596
416	425	594
417	425	592
418	426	591
419	426	589
420	427	587
421	428	586
422	429	585
423	429	583
424	430	582
425	430	580
426	431	579
427	432	577
428	432	576
429	433	574
430	434	573
431	434	571
432	435	570
433	436	568
434	436	567
435	437	565
436	437	563
437	438	562
438	438	560
439	439	559
440	440	557
441	440	556
442	441	554
443	441	553
444	442	551
445	442	549
446	443	548
447	443	546
448	444	545
449	445	543
450	445	542
451	446	540
452	446	539
453	447	537
454	447	536
455	448	535
456	449	533
457	449	532
458	450	530
459	450	529
460	451	527
461	452	526
462	452	525
463	453	523
464	453	522
465	454	520
466	454	519
467	455	517
468	456	516
469	456	515
